Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/22/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.573324,2473.873548,1490.351937,1438.588508,1587.042988,1758.673557,1909.642681,2023.94715,2217.057854,2347.5021,2572.42082,2915.455786,3382.060324,3958.329986,4518.262746,5339.901702,6274.028207,7380.23154,8097.305007,7045.330725,7331.386504,7881.771735,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13547.5314,14921.81932,14089.23938,15592.48736
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11436.01697,12021.99725,12241.23488,12957.56785,13857.29538,13268.75967,14115.16624,14842.26025,15426.14172,15949.04344,17037.38088,16375.81339,16588.60751,17741.65867,19057.16949,20684.03186,23727.11921,26274.2614,26377.15575,23015.87444,21175.38331,20939.33127,20208.93929,19437.61697,19748.62538,19674.5633,20790.41917,20777.87403,22612.88181,24007.86848,19276.56881,21010.00357
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17373.04899,17827.03076,18234.53818,19195.23149,20150.08215,21014.39563,22125.26427,23105.05425,24360.82064,25468.21831,26532.56436,27656.70529,29016.67834,30078.30319,31722.47511,33018.16322,34800.91806,36620.03532,37517.85385,40307.22955,39371.6567,42018.11794,42847.29675,45907.75468,46882.18557,46251.40868,47249.43482,48400.24579,50192.95733,51810.77671,53358.20808,56281.37865
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19461.99694,20605.85357,21281.15471,21720.51107,22629.97096,23684.62005,24553.84013,25426.71741,26675.04316,27606.48303,29376.01974,29702.79753,31178.69333,32144.24181,33773.82578,35013.71404,37662.18517,39430.60917,41316.22518,40918.13212,42009.43853,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56960.09143,58076.3488,55685.97029,58430.64025
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.446608,5321.810994,4149.746606,3217.651495,2603.601929,2317.590695,2366.638154,2522.628371,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14549.0619,15051.56128,14478.52445,15854.55084
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.3716475,648.3308671,652.5122225,647.4770436,632.4249539,559.8362994,524.6810684,525.8317273,546.7198398,535.9623371,532.4259199,542.0301902,559.1123373,545.7755393,566.0916315,567.7007004,595.2055657,609.5935955,625.2437396,620.8967338,630.358193,646.1031275,651.9523273,696.4970002,728.8700603,797.0501141,766.5872206,750.7876163,758.1376112,760.4533989,750.3130621,774.5428909
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18678.01029,19590.69918,20261.47811,20462.14646,21507.12136,22434.7069,22738.44887,23732.27225,24368.91369,25440.84119,27784.5715,28788.06284,30282.28865,30932.85251,32063.08032,33177.89095,35259.18671,36791.20043,37883.33194,37749.50954,39840.0882,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52535.23222,54278.38945,53096.14142,58905.16378
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.214582,1275.135741,1302.24048,1349.490345,1354.590804,1436.737626,1487.598078,1554.145493,1584.965406,1642.173165,1724.54671,1802.324598,1858.766765,1902.502923,1979.292899,2011.396677,2090.284255,2210.79271,2294.869878,2294.602793,2302.687791,2350.356452,2427.432659,2590.925045,2745.858612,2792.609645,2901.264671,2933.837384,3112.797453,3289.655169,3360.987416,3649.04065
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.6301463,625.1781954,625.3228272,646.0470734,651.8797993,685.7886884,755.7081414,796.5891492,840.9844308,889.501251,899.5848205,951.314407,977.6685185,1041.898563,1083.249313,1176.357297,1248.873042,1295.467117,1356.372196,1364.895645,1454.578747,1536.808944,1568.066859,1629.317836,1637.928051,1657.916107,1833.433053,1978.155012,2100.222262,2199.116626,2208.398229,2394.705365
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.9480034,1028.28859,1088.740137,1144.970833,1191.835185,1255.48763,1313.073938,1370.959718,1431.061897,1490.19028,1574.33157,1659.711356,1717.970062,1803.138153,1916.452038,2074.011585,2253.209817,2451.542213,2625.406359,2751.217878,2906.05192,3119.929973,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776083,5246.923588,5697.949218,5897.588948,6493.809393
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7546.727384,7214.1362,6915.812189,7030.804297,7336.363109,7738.903712,6847.020528,5750.463603,6177.683846,5807.840349,6421.979266,6958.988779,7786.448422,8416.970865,9201.490502,10291.42387,11408.11806,12819.29182,14346.78422,14181.09309,14954.99911,15739.92258,16319.78098,16651.9352,17619.60519,18392.16124,20080.81808,21473.80481,23011.54091,24411.28163,24799.07454,27926.10922
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25731.16492,28594.09183,30129.96237,33643.63046,33149.57425,34045.39428,34962.95671,35548.65614,36559.27645,37570.91678,39360.43209,40186.94531,41161.56258,42900.81335,44006.71276,44780.11567,45651.59194,47380.16645,48078.84387,46708.73586,47929.44346,49960.26787,53778.48867,53672.10422,52073.98462,45900.70303,45281.30192,48929.44701,50106.7864,51869.45545,50468.2538,54256.77143
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20326.62822,19742.92861,19012.97367,19104.10623,19727.16201,20632.74667,21511.63371,22992.22674,21835.90158,24466.49957,25678.76727,26569.56727,27350.38738,27172.37936,27770.78089,29212.61846,30446.48288,31278.05935,30697.0632,29180.51581,29566.57982,29990.16431,30658.40063,30328.94448,31761.27531,32260.82696,32341.20981,34357.27066,35564.95145,36645.82112,28119.24723,33188.73247
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.1241291,1166.844355,2154.878216,2843.982993,3270.265715,3601.502847,4127.089581,4289.951029,4653.131647,4911.418042,5405.564641,5959.024831,6879.329773,7695.240395,8595.758957,8698.421751,9088.310754,9753.586898,10104.39951,10791.45999,11150.06552,11687.29029,12720.5612,13402.43397,14581.36234,15418.97992,15336.9107,17376.60824
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226.139654,5335.578804,4922.457216,4645.893574,4194.881094,3849.897233,4043.749905,4601.503085,5066.942837,5337.01584,5801.75813,6244.747744,6704.592279,7369.845906,8491.894839,9647.121181,11006.45591,12332.50292,13898.99968,14050.57156,15361.83171,16563.20141,18105.28672,18994.19019,19008.06102,18095.66518,17785.9432,18356.10077,19428.00746,20092.88037,20278.47395,21698.57409
